r,m,c,b,f,dm,dc,db,df
1.692286490861397681e+02,3.521123051586012039e-06,3.030506499812017362e-01,6.592890688328048032e-01,8.154650020732420179e-01,8.903713768500959798e-06,-7.148644106099473596e-07,-6.701624527317706239e-07,-5.420157735083850438e-07
1.692347752506081520e+02,3.576093339768503707e-06,3.030506455630000984e-01,6.592890646903452057e-01,8.154649987228744790e-01,9.042715115090993076e-06,-7.275767321935125232e-07,-6.822563470892679085e-07,-5.518030986052519116e-07
1.692409014150765643e+02,3.631921800750720429e-06,3.030506410662314742e-01,6.592890604731297399e-01,8.154649953120080008e-01,9.183886500251202880e-06,-7.405148445778526534e-07,-6.945686608340328061e-07,-5.617673013501514928e-07
1.692470275795449481e+02,3.688621840322091646e-06,3.030506364894992033e-01,6.592890561798072646e-01,8.154649918395486807e-01,9.327261822751382005e-06,-7.536827553952535230e-07,-7.071033447532385862e-07,-5.719115836069264920e-07
1.692531537440133604e+02,3.746207051254502142e-06,3.030506318313848646e-01,6.592890518090048779e-01,8.154649883043847414e-01,9.472875454174570605e-06,-7.670845356716402141e-07,-7.198644135151983230e-07,-5.822391990019645975e-07
1.692592799084817443e+02,3.804691266717695725e-06,3.030506270904413380e-01,6.592890473593211453e-01,8.154649847053816458e-01,9.620762373985697379e-06,-7.807243381027960032e-07,-7.328559641084350764e-07,-5.927534678616151892e-07
1.692654060729501566e+02,3.864088513211791409e-06,3.030506222651985215e-01,6.592890428293329830e-01,8.154649810413860944e-01,9.770958050514207656e-06,-7.946063812211268917e-07,-7.460821599062073219e-07,-6.034577643466155373e-07
1.692715322374185405e+02,3.924413044564494471e-06,3.030506173541594461e-01,6.592890382175896624e-01,8.154649773112238043e-01,9.923498526920882250e-06,-8.087349610875137098e-07,-7.595472423767378578e-07,-6.143555260809344482e-07
1.692776584018869528e+02,3.985679346183443675e-06,3.030506123557991649e-01,6.592890335226134768e-01,8.154649735136977329e-01,1.007842043195025835e-05,-8.231144529438420564e-07,-7.732555329791001229e-07,-6.254502554695014200e-07
1.692837845663553367e+02,4.047902105517016354e-06,3.030506072685689722e-01,6.592890287429029605e-01,8.154649696475919640e-01,1.023576090523627588e-05,-8.377493012305747028e-07,-7.872114229835248847e-07,-6.367455115214020388e-07
1.692899107308237490e+02,4.111096269771436347e-06,3.030506020908886877e-01,6.592890238769256728e-01,8.154649657116656014e-01,1.039555774324811095e-05,-8.526440395306102149e-07,-8.014193936658636186e-07,-6.482449263090823374e-07
1.692960368952921613e+02,4.175276995052788100e-06,3.030505968211533729e-01,6.592890189231245257e-01,8.154649617046573207e-01,1.055784927068817208e-05,-8.678032732911831295e-07,-8.158839989251168595e-07,-6.599521907649057247e-07
1.693021630597605451e+02,4.240459683102129161e-06,3.030505914577282245e-01,6.592890138799133437e-01,8.154649576252823717e-01,1.072267443338188540e-05,-8.832316925873628725e-07,-8.306098781938021758e-07,-6.718710652278699076e-07
1.693082892242289574e+02,4.306659985890271224e-06,3.030505859989484074e-01,6.592890087456757531e-01,8.154649534722318016e-01,1.089007280989595257e-05,-8.989340739210471309e-07,-8.456017582846231074e-07,-6.840053808976578481e-07
1.693144153886973413e+02,4.373893773699710969e-06,3.030505804431228856e-01,6.592890035187695119e-01,8.154649492441755632e-01,1.106008453082878425e-05,-9.149152693163865326e-07,-8.608644424121203472e-07,-6.963590309440392351e-07
1.693205415531657536e+02,4.442177197489850781e-06,3.030505747885264278e-01,6.592889981975186275e-01,8.154649449397560756e-01,1.123275043650939846e-05,-9.311802281130839120e-07,-8.764028322974169737e-07,-7.089359884330472873e-07
