x,m,c,b,f,V,T
-10.98,1,6.39236081565e-17,5.64982312035e-19,8.08860726061e-11,0,1.50191281525e-20
-10.968,1,6.64036246731e-17,5.92073089534e-19,8.29913283587e-11,0,1.5767105845e-20
-10.956,1,6.89792737608e-17,6.20460424103e-19,8.51484058878e-11,0,1.6553428569e-20
-10.944,1,7.16542653653e-17,6.50206435823e-19,8.73586522558e-11,0,1.73800606787e-20
-10.932,1,7.44324519997e-17,6.81376205104e-19,8.96234476042e-11,0,1.82490671798e-20
-10.92,1,7.73178341621e-17,7.1403791153e-19,9.19442059945e-11,0,1.91626188748e-20
-10.908,1,8.03145665297e-17,7.4826299156e-19,9.43223763952e-11,0,2.01229978223e-20
-10.896,1,8.34269656026e-17,7.8412633042e-19,9.67594439505e-11,0,2.11326031959e-20
-10.884,1,8.66595144581e-17,8.21706395035e-19,9.92569305735e-11,0,2.21939571433e-20
-10.872,1,9.00168686009e-17,8.61085392135e-19,1.01816395767e-10,0,2.33097110279e-20
-10.86,1,9.35038625111e-17,9.02349443608e-19,1.04439437572e-10,0,2.44826520341e-20
-10.848,1,9.7125517129e-17,9.4558878567e-19,1.0712769369e-10,0,2.57157101778e-20
-10.836,1,1.00887049095e-16,9.90898011212e-19,1.09882842909e-10,0,2.70119658261e-20
-10.824,1,1.04793876493e-16,1.03837623768e-18,1.12706605781e-10,0,2.83746572224e-20
-10.812,1,1.08851625921e-16,1.08812730676e-18,1.15600745545e-10,0,2.98071884998e-20
-10.8,1,1.13066140406e-16,1.14026000579e-18,1.18567069202e-10,0,3.1313138162e-20
-10.788,1,1.17443488447e-16,1.19488831937e-18,1.21607428779e-10,0,3.28962680834e-20
-10.776,1,1.21989975188e-16,1.2521317354e-18,1.24723722951e-10,0,3.45605331633e-20
-10.764,1,1.26712149357e-16,1.3121154571e-18,1.27917897801e-10,0,3.63100909883e-20
-10.752,1,1.31616811812e-16,1.37497065515e-18,1.31191947864e-10,0,3.81493121207e-20
-10.74,1,1.36711025104e-16,1.44083474744e-18,1.34547917342e-10,0,4.00827909872e-20
-10.728,1,1.42002124416e-16,1.5098517167e-18,1.37987901536e-10,0,4.21153574341e-20
-10.716,1,1.47497731063e-16,1.58217249709e-18,1.41514048688e-10,0,4.42520891211e-20
-10.704,1,1.53205760878e-16,1.65795524194e-18,1.45128560824e-10,0,4.64983239278e-20
-10.692,1,1.59134434544e-16,1.7373656422e-18,1.48833694952e-10,0,4.88596731627e-20
-10.68,1,1.65292289155e-16,1.82057727969e-18,1.52631764428e-10,0,5.13420355439e-20
-10.668,1,1.71688191437e-16,1.9077720283e-18,1.56525140578e-10,0,5.39516120337e-20
-10.656,1,1.78331354065e-16,1.99914054218e-18,1.6051625478e-10,0,5.66949217502e-20
-10.644,1,1.85231345803e-16,2.09488259389e-18,1.64607599431e-10,0,5.95788178961e-20
-10.632,1,1.92398103995e-16,2.19520747658e-18,1.68801729284e-10,0,6.2610504719e-20
-10.62,1,1.99841948535e-16,2.30033445008e-18,1.73101263007e-10,0,6.57975554599e-20
-10.608,1,2.07573597852e-16,2.41049324754e-18,1.77508885015e-10,0,6.91479313988e-20
-10.596,1,2.15604188634e-16,2.5259246921e-18,1.82027347829e-10,0,7.2670002283e-20
-10.584,1,2.23945288089e-16,2.64688112378e-18,1.86659473167e-10,0,7.6372566778e-20
-10.572,1,2.32608909038e-16,2.77362690744e-18,1.91408153462e-10,0,8.02648742431e-20
